# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	51676
#@/user_id	435aafd9-22e7-4862-aa94-9a43e7cfcf27
ben ji 	本機	c=18 d=0.822835 t=51676
ben ke 	本科	c=19 d=0.113889 t=51676
ben kui 	奔潰	c=2 d=3.16692e-83 t=51676
ben lai 	本來	c=2 d=1.7056e-46 t=51676
ben lun 	本輪	c=1 d=4.97431e-21 t=51676
ben lun wen 	本論文	c=2 d=0.0173355 t=51676
ben ren 	本人	c=2 d=8.7446e-11 t=51676
ben shen 	本身	c=6 d=0.790571 t=51676
ben shi 	本事	c=1 d=0.00625109 t=51676
ben shi 	本是	c=3 d=0.00621991 t=51676
ben suan fa 	本算法	c=1 d=0.00242967 t=51676
ben ti 	本體	c=2 d=2.54012e-26 t=51676
ben xi tong 	本系統	c=1 d=8.1712e-66 t=51676
ben xiang mu 	本項目	c=6 d=0.827058 t=51676
ben ying 	本應	c=1 d=6.86543e-47 t=51676
ben zhi 	本質	c=26 d=0.00135358 t=51676
ben zhi shang 	本質上	c=1 d=2.56696e-32 t=51676
beng 	泵	c=1 d=3.54298e-29 t=51676
beng huai 	崩壞	c=5 d=1.08503e-42 t=51676
beng huai san 	崩壞三	c=1 d=1.05539e-46 t=51676
beng kui 	崩潰	c=1 d=1.34427e-10 t=51676
beng tie 	崩鐵	c=2 d=6.67523e-40 t=51676
bi 	幣	c=1 d=4.94145e-90 t=51676
bi 	必	c=5 d=0.00226541 t=51676
bi 	比	c=3 d=0.000314357 t=51676
bi 	畢	c=2 d=0.000198445 t=51676
bi 	閉	c=1 d=1.24088e-39 t=51676
bi a 	比啊	c=0 d=1.3085e-76 t=51676
bi a niang 	比啊娘	c=1 d=1.31506e-75 t=51676
bi bao 	閉包	c=2 d=1.46384e-93 t=51676
bi bei 	必備	c=1 d=0.346456 t=51676
bi ji 	筆記	c=26 d=0.460731 t=51676
bi ji ben 	筆記本	c=8 d=0.19398 t=51676
bi jiao 	比較	c=17 d=0.82339 t=51676
bi jiao da 	比較大	c=1 d=1 t=46885
bi jiao hao 	比較好	c=2 d=4.95894e-14 t=51676
bi li 	比例	c=3 d=1.37212e-07 t=51676
bi mian 	避免	c=17 d=0.751574 t=51676
bi ou shi 	必歐式	c=1 d=9.52039e-11 t=51676
bi ran 	必然	c=3 d=3.24818e-07 t=51676
bi ru 	比如	c=11 d=1.10044 t=51676
bi she 	畢設	c=2 d=0.0152985 t=51676
bi wen 	必問	c=1 d=0.701173 t=51676
bi xu 	必須	c=23 d=0.496784 t=51676
bi xu yao 	必須要	c=4 d=0.106992 t=51676
bi xuan xiang 	必選項	c=1 d=4.15998e-06 t=51676
bi yao 	必要	c=3 d=1.02389e-13 t=51676
bi ye 	畢業	c=18 d=0.198145 t=51676
bi yu 	比喻	c=2 d=4.32593e-25 t=51676
bian 	便	c=2 d=2.13298e-59 t=51676
bian 	變	c=8 d=0.730639 t=51676
bian 	遍	c=2 d=3.73224e-53 t=51676
bian 	邊	c=6 d=0.0333733 t=51676
bian chang 	變長	c=0 d=1.19555e-14 t=51676
bian chang 	邊長	c=1 d=1.20757e-13 t=51676
bian chang a 	變長啊	c=1 d=1.20154e-13 t=51676
bian cheng 	編程	c=35 d=1.57951 t=51676
bian cheng 	變成	c=4 d=0.767206 t=51676
bian cheng ti 	編程體	c=1 d=3.01852e-56 t=51676
bian de 	變得	c=1 d=2.02751e-80 t=51676
bian duo 	變多	c=1 d=3.55457e-38 t=51676
bian hao 	編號	c=16 d=0.262994 t=51676
bian hou 	變厚	c=1 d=0.000550326 t=51676
bian hua 	變化	c=7 d=0.298197 t=51676
bian huan 	變換	c=23 d=1.05247 t=51676
bian huan dao 	變換到	c=3 d=0.0736852 t=51676
bian huan hou 	變換後	c=2 d=1.67666e-71 t=51676
bian hui 	便會	c=4 d=0.00134741 t=51676
bian hui shi 	便會是	c=1 d=5.87385e-06 t=51676
bian ji 	編輯	c=9 d=0.755837 t=51676
bian ji qi 	編輯器	c=11 d=1 t=51676
bian jie 	便捷	c=1 d=9.21271e-95 t=51676
bian jie 	邊界	c=2 d=0.0776922 t=51676
bian ju 	邊距	c=1 d=9.22144e-18 t=51676
bian kuang 	邊框	c=5 d=6.51263e-13 t=51676
bian lan 	邊欄	c=2 d=9.11332e-21 t=51676
bian li 	遍歷	c=6 d=1.21024e-47 t=51676
bian liang 	變量	c=42 d=0.814411 t=51676
bian liang en ding er 	變量摁釘兒	c=1 d=8.29073e-31 t=51676
bian ma 	編碼	c=39 d=0.2334 t=51676
bian ma qi 	編碼器	c=2 d=1.30383e-24 t=51676
bian ma wei 	編碼爲	c=1 d=6.51839e-25 t=51676
bian neng 	便能	c=1 d=1.70061e-41 t=51676
bian ti 	變體	c=1 d=6.01192e-44 t=51676
bian wei 	變爲	c=7 d=0.287941 t=51676
bian xian ji fen 	變限積分	c=1 d=2.57799e-53 t=51676
bian xiao 	變小	c=1 d=2.27461e-80 t=51676
bian xie 	編寫	c=18 d=0.436049 t=51676
bian xie guo 	編寫過	c=1 d=1.03806e-57 t=51676
bian xing 	變形	c=1 d=1.76035e-06 t=51676
bian xue 	邊學	c=1 d=2.83394e-49 t=51676
bian yi 	便宜	c=1 d=2.17748e-96 t=51676
bian yi 	編譯	c=22 d=0.00417336 t=51676
bian yi qi 	編譯器	c=5 d=0.00918669 t=51676
bian yi shi 	編譯時	c=1 d=2.78218e-38 t=51676
bian yi wei 	編譯爲	c=2 d=1.94176 t=47483
bian yu 	便於	c=4 d=0.486752 t=51676
bian yuan 	邊緣	c=3 d=1.41017e-70 t=51676
bian yun xing 	邊運行	c=1 d=1 t=47461
bian zao 	編造	c=3 d=1.02935 t=47542
bian zhi 	編制	c=0 d=2.60576e-33 t=51676
bian zhi hao 	編制好	c=1 d=2.61882e-32 t=51676
bian zuo 	邊做	c=1 d=2.84815e-49 t=51676
biao 	標	c=2 d=0.23457 t=51676
biao 	表	c=30 d=0.0548516 t=51676
biao chi 	標尺	c=1 d=1.50237e-24 t=51676
biao da 	表達	c=8 d=0.0300468 t=51676
biao da shi 	表達式	c=11 d=4.93336e-12 t=51676
biao ge 	表格	c=30 d=0.107118 t=51676
biao hao 	標號	c=2 d=0.0422141 t=51676
biao ji 	標記	c=10 d=0.0580411 t=51676
biao jiao 	鰾膠	c=1 d=4.24302e-62 t=51676
biao mian 	表面	c=3 d=5.96735e-62 t=51676
biao ming 	標明	c=1 d=2.30631e-37 t=51676
biao qi 	標齊	c=2 d=0.0285879 t=51676
biao qian 	標籤	c=44 d=0.98638 t=51676
biao qian lan 	標籤欄	c=1 d=0.585669 t=51676
biao qian ye 	標籤頁	c=1 d=1.35322e-88 t=51676
biao qing 	表情	c=8 d=5.04494e-24 t=51676
biao sao miao 	表掃描	c=0 d=8.01102e-40 t=51676
biao she ji 	表設計	c=1 d=1 t=48115
biao shi 	標識	c=2 d=5.83504e-75 t=51676
biao shi 	表示	c=16 d=0.896553 t=51676
biao shu 	表述	c=5 d=0.000312395 t=51676
biao ti 	標題	c=14 d=0.053671 t=51676
biao ti lan 	標題欄	c=1 d=3.9656e-90 t=51676
biao xian 	表現	c=1 d=4.51783e-65 t=51676
biao xiang 	表項	c=2 d=3.51909e-67 t=51676
biao yu 	表語	c=1 d=3.59763e-62 t=51676
biao zheng 	表徵	c=5 d=4.45331e-46 t=51676
biao zhi 	標識	c=2 d=3.61332e-25 t=51676
biao zhu 	標注	c=9 d=7.55003e-30 t=51676
biao zhu hao 	標注號	c=1 d=4.25269e-30 t=51676
biao zhu wei 	標注爲	c=1 d=1.00426e-50 t=51676
biao zhun 	標準	c=5 d=1.0137e-13 t=51676
biao zhun hua 	標準化	c=4 d=0.0831093 t=51676
bie 	別	c=8 d=0.0269169 t=51676
bie e 	別呃	c=1 d=1.51561e-39 t=51676
bie jing 	別經	c=1 d=1.15659e-35 t=51676
bie niu 	別扭	c=0 d=9.44784e-69 t=51676
bie wa 	別挖	c=1 d=1.49691e-40 t=51676
bie zhuang 	別裝	c=1 d=2.76115e-37 t=51676
bie zou 	別走	c=1 d=7.62187e-12 t=51676
bin yu 	賓語	c=5 d=6.48965e-69 t=51676
bing 	並	c=156 d=3.43455 t=51676
bing 	兵	c=7 d=1.8981e-10 t=51676
bing bu 	並不	c=3 d=4.3454e-19 t=51676
bing bu neng 	並不能	c=1 d=6.3376e-47 t=51676
bing bu shi 	並不是	c=3 d=1.12294e-30 t=51676
bing dian 	冰點	c=38 d=4.87087e-28 t=51676
bing dong 	冰凍	c=1 d=0.650509 t=51676
bing fa 	併發	c=18 d=0.537199 t=51676
bing fang 	病房	c=1 d=4.55223e-66 t=51676
bing fei 	並非	c=2 d=1.06379e-46 t=51676
bing huo jiang 	並獲獎	c=1 d=2.46413e-51 t=51676
bing ji 	並集	c=1 d=5.094e-36 t=51676
bing jiang 	並將	c=3 d=0.172907 t=51676
bing jiang qi 	並將其	c=4 d=6.35508e-50 t=51676
bing li 	病歷	c=16 d=1.35875e-48 t=51676
bing lie 	並列	c=1 d=4.22186e-62 t=51676
bing mao 	並茂	c=1 d=4.29004e-74 t=51676
bing mei you 	並沒有	c=9 d=0.782705 t=51676
bing qie 	並且	c=13 d=0.0154524 t=51676
bing qing 	病情	c=1 d=7.43067e-66 t=51676
bing tu 	餅圖	c=1 d=1.64492e-61 t=51676
bing xing 	並行	c=4 d=0.618783 t=51676
bing zai 	並在	c=3 d=1.12104e-50 t=51676
bing zheng 	病症	c=2 d=1.39277e-65 t=51676
bing zhui 	冰錐	c=1 d=3.69574e-55 t=51676
bo 	伯	c=0 d=7.9776e-79 t=51676
bo 	博	c=3 d=4.33109e-39 t=51676
bo 	播	c=2 d=4.37462e-39 t=51676
bo 	波	c=1 d=2.98553e-15 t=51676
bo dong 	波動	c=2 d=2.51734e-67 t=51676
bo fang 	播放	c=29 d=0.582871 t=51676
bo fang liang 	播放亮	c=1 d=2.2719e-66 t=51676
bo ke 	博客	c=1 d=1.34171e-17 t=51676
bo luo 	菠蘿	c=0 d=0.0839457 t=51676
bo nu li 	伯努力	c=1 d=8.01758e-78 t=51676
bo shi 	博士	c=4 d=8.30236e-07 t=51676
bo shi zun 	博士尊	c=1 d=1.38946e-46 t=51676
bo shu 	波數	c=1 d=1.21676e-14 t=51676
bu 	不	c=44 d=0.0613161 t=51676
bu 	布	c=1 d=2.14032e-70 t=51676
bu 	步	c=1 d=4.85992e-12 t=51676
bu 	補	c=3 d=6.01109e-13 t=51676
bu 	部	c=1 d=4.62009e-93 t=51676
bu an quan 	不安全	c=1 d=1.23806e-71 t=51676
bu bao cuo 	不報錯	c=1 d=1.72191e-11 t=51676
bu bao han 	不包含	c=1 d=0.0177743 t=51676
bu bei 	不被	c=1 d=1.47739e-62 t=51676
bu bi 	不必	c=2 d=1.13856e-56 t=51676
bu bian 	不變	c=9 d=0.135155 t=51676
bu bie niu 	不別扭	c=1 d=9.4952e-68 t=51676
bu bo 	不播	c=0 d=3.95886e-71 t=51676
bu bo fang 	不播放	c=1 d=3.97871e-70 t=51676
bu cheng gong 	不成功	c=1 d=1.11434e-09 t=51676
bu chong 	補充	c=11 d=0.0976649 t=51676
bu chong fu 	不重複	c=1 d=1.09824e-73 t=51676
bu chong wan 	補充玩	c=1 d=8.61706e-44 t=51676
bu chu 	不出	c=1 d=9.10243e-71 t=51676
bu chu 	補出	c=3 d=2.68315 t=51676
bu chuan mo 	不穿模	c=1 d=5.30172e-65 t=51676
bu chuang jian 	不創建	c=1 d=6.91138e-96 t=51676
bu cun zai 	不存在	c=10 d=0.894722 t=51676
bu cuo 	不錯	c=4 d=2.1814e-29 t=51676
bu da 	不達	c=1 d=1.66955e-30 t=51676
bu da guai 	不打怪	c=1 d=3.3865e-27 t=51676
bu dai 	不帶	c=2 d=3.1287e-66 t=51676
bu dao 	不到	c=1 d=0.01764 t=51676
bu de bu 	不得不	c=1 d=7.8372e-75 t=51676
bu deng shi 	不等式	c=1 d=5.76422e-49 t=51676
bu diao luo 	不掉落	c=2 d=2.42685e-40 t=51676
bu dong 	不動	c=4 d=0.0483156 t=51676
bu dong 	不懂	c=1 d=4.19808e-25 t=51676
bu dou shi 	不都是	c=1 d=7.06873e-08 t=51676
bu dui 	不對	c=3 d=1.74455e-47 t=51676
bu duo 	不多	c=1 d=7.06226e-56 t=51676
bu er nuo 	布爾諾	c=0 d=1.08887e-32 t=51676
bu er nuo neng gou 	布爾諾能夠	c=2 d=2.37852e-31 t=51676
bu fa bu 	不發佈	c=1 d=0.256661 t=51676
bu fang bian 	不方便	c=2 d=6.64059e-67 t=51676
bu fen 	部分	c=30 d=0.135445 t=51676
bu fen er 	部分而	c=1 d=0.110803 t=51676
bu fen fen shi 	部分分式	c=1 d=3.74127e-52 t=51676
bu fu he 	不符合	c=5 d=0.000156102 t=51676
bu ga 	不尬	c=0 d=0.0755784 t=51676
bu ga ei 	不尬誒	c=1 d=0.759572 t=51676
bu gai bian 	不改變	c=2 d=3.26836e-21 t=51676
bu gao 	不高	c=2 d=0.00900478 t=51676
bu gen 	不跟	c=2 d=0.000112788 t=51676
bu gong 	不公	c=1 d=1.97657e-16 t=51676
bu gou 	不夠	c=2 d=0.0309618 t=51676
bu gua zai 	不掛載	c=1 d=0.458406 t=51676
bu guan 	不管	c=1 d=3.81308e-11 t=51676
bu guan xin 	不關心	c=1 d=3.24929e-11 t=51676
bu guan zhu 	不關注	c=1 d=3.73237e-24 t=51676
bu guo 	不過	c=1 d=1.34812e-73 t=51676
bu han 	不含	c=2 d=1.50703e-31 t=51676
bu hao 	不好	c=4 d=0.0301974 t=51676
bu hao kan 	不好看	c=3 d=1.08159e-11 t=51676
bu he li 	不合理	c=1 d=3.30908e-49 t=51676
bu huan hang 	不換行	c=1 d=0.219808 t=51676
bu hui 	不會	c=24 d=2.28905 t=51676
bu hui gei 	不會給	c=1 d=1.72996e-07 t=51676
bu hui lai 	不回來	c=1 d=9.36081e-18 t=51676
bu ji huo 	不激活	c=1 d=9.86087e-42 t=51676
bu ji zhe 	不急着	c=1 d=3.28977e-39 t=51676
bu jia 	不加	c=1 d=2.0806e-90 t=51676
bu jian 	不見	c=7 d=0.000921083 t=51676
bu jian 	部件	c=3 d=2.21778e-32 t=51676
bu jian le 	不見了	c=1 d=6.12254e-82 t=51676
bu jian rong 	不兼容	c=4 d=7.9521e-11 t=51676
bu ju 	佈局	c=5 d=0.037068 t=51676
bu kao lv 	不考慮	c=2 d=0.00132678 t=51676
bu ke 	不可	c=4 d=0.0301974 t=51676
bu ke kao 	不可靠	c=1 d=7.31234e-83 t=51676
bu ke ni 	不可逆	c=2 d=2.44601e-23 t=51676
bu ke yong 	不可用	c=2 d=0.67032 t=51676
bu ku 	不哭	c=1 d=6.70733e-67 t=51676
bu li jie 	不理解	c=1 d=4.14192e-43 t=51676
bu li xiang 	不理想	c=2 d=6.98746e-19 t=51676
bu lian xu 	不連續	c=3 d=1.73892e-09 t=51676
