# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	61799
#@/user_id	PC-Windows
bao han zai 	包含在	c=1 d=6.10921e-27 t=61799
bao hu 	保護	c=3 d=9.24782e-72 t=61799
bao ji 	寶雞	c=4 d=3.85662e-77 t=61799
bao ji shi 	寶雞市	c=1 d=2.00631e-74 t=61799
bao jin wo 	抱緊我	c=1 d=7.24005e-25 t=61799
bao kao 	報考	c=8 d=5.99184e-29 t=61799
bao kao ren shu 	報考人數	c=1 d=1.55849e-73 t=61799
bao kuo 	包括	c=20 d=1.70948e-14 t=61799
bao le 	爆了	c=3 d=2.63929e-06 t=61799
bao liu 	保留	c=7 d=0.687289 t=61799
bao lu 	暴露	c=3 d=3.39527e-28 t=61799
bao lv 	爆率	c=2 d=9.43529e-23 t=61799
bao man 	飽滿	c=1 d=7.6442e-17 t=61799
bao qian 	抱歉	c=2 d=0.00296761 t=61799
bao shi 	寶石	c=3 d=1.66562e-85 t=61799
bao wei 	保衛	c=1 d=1.74758e-38 t=61799
bao wei 	包圍	c=10 d=4.03206e-14 t=61799
bao wei he 	包围盒	c=1 d=1.57168e-84 t=61799
bao wen 	保溫	c=1 d=2.01958e-34 t=61799
bao wen 	報文	c=1 d=2.02971e-34 t=61799
bao xiang 	寶箱	c=2 d=3.59841e-56 t=61799
bao xiong 	抱胸	c=1 d=5.52184e-73 t=61799
bao yuan 	包源	c=2 d=7.5227e-05 t=61799
bao zhang 	保障	c=1 d=6.41983e-81 t=61799
bao zhe 	抱着	c=1 d=4.27897e-73 t=61799
bao zheng 	保證	c=12 d=6.73301e-08 t=61799
bei 	倍	c=1 d=1.94529e-93 t=61799
bei 	備	c=1 d=1.38084e-61 t=61799
bei 	盃	c=9 d=9.70066e-11 t=61799
bei 	被	c=67 d=0.67368 t=61799
bei 	貝	c=2 d=2.97681e-10 t=61799
bei bao 	背包	c=2 d=3.43651e-23 t=61799
bei fen 	備份	c=11 d=8.25559e-10 t=61799
bei feng de hun xia 	北风的魂匣	c=1 d=1.45287e-71 t=61799
bei feng zhuang 	被封裝	c=1 d=1.11393e-34 t=61799
bei hang 	北航	c=1 d=2.3785e-76 t=61799
bei jing 	北京	c=7 d=1.28743e-23 t=61799
bei jing 	背景	c=30 d=0.0278002 t=61799
bei jing se 	背景色	c=2 d=5.75293e-37 t=61799
bei la 	貝拉	c=4 d=1.16917e-14 t=61799
bei mian 	背面	c=2 d=1.49645e-07 t=61799
bei sai er 	贝赛尔	c=2 d=7.96152e-43 t=61799
bei shu 	倍數	c=1 d=1.52966e-118 t=61799
bei wo 	被我	c=1 d=1.38686e-24 t=61799
bei ye 	貝葉	c=0 d=3.41741e-76 t=61799
bei ye si 	貝葉斯	c=2 d=7.17377e-75 t=61799
bei yin yong 	被引用	c=1 d=8.95805e-30 t=61799
bei you 	北郵	c=1 d=1.31846e-76 t=61799
bei zhu 	備注	c=10 d=3.68005e-05 t=61799
bei zhu chu 	備注出	c=2 d=8.94543e-13 t=61799
bei zhu hou 	備注後	c=1 d=1.04205e-14 t=61799
ben 	本	c=15 d=7.96125e-16 t=61799
ben 	笨	c=3 d=4.58065e-51 t=61799
ben ci 	本次	c=5 d=0.00634556 t=61799
ben di 	本地	c=70 d=0.449329 t=61799
ben di bao 	本地包	c=2 d=1.54502e-10 t=61799
ben di hua 	本地化	c=1 d=1.50222e-111 t=61799
ben gong si 	本公司	c=1 d=6.40217e-78 t=61799
ben gong zuo liu 	本工作流	c=1 d=4.23554e-100 t=61799
ben ji 	本機	c=18 d=1.05852e-22 t=61799
ben ke 	本科	c=23 d=2.46968e-12 t=61799
ben kui 	奔潰	c=2 d=4.07403e-105 t=61799
ben lai 	本來	c=4 d=1.17392e-15 t=61799
ben lun 	本輪	c=1 d=6.39911e-43 t=61799
ben lun wen 	本論文	c=2 d=2.23009e-24 t=61799
ben ren 	本人	c=2 d=1.12493e-32 t=61799
ben shen 	本身	c=6 d=1.01702e-22 t=61799
ben sheng 	本省	c=1 d=1.29534e-15 t=61799
ben shi 	本事	c=1 d=8.0416e-25 t=61799
ben shi 	本是	c=3 d=8.00149e-25 t=61799
ben suan fa 	本算法	c=1 d=3.1256e-25 t=61799
ben ti 	本體	c=2 d=3.26769e-48 t=61799
ben wen 	本文	c=2 d=3.98858e-11 t=61799
ben xi tong 	本系統	c=1 d=1.05117e-87 t=61799
ben xiang mu 	本項目	c=8 d=0.00128115 t=61799
